"학교ID",학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000006224,백구초등학교,초등학교,1963-11-22,공립,본교,운영,전라북도 김제시 백구면 석담리 424,전라북도 김제시 백구면 석담2길 36,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2019-09-10,35.8864313,126.970208,2020-03-20
B000006225,치문초등학교,초등학교,1908-04-15,공립,본교,운영,전라북도 김제시 백구면 유강리 105,전라북도 김제시 백구면 유강11길 43,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2019-09-10,35.9063887,126.9362314,2020-03-20
B000006226,부용초등학교,초등학교,1921-05-20,공립,본교,운영,전라북도 김제시 백구면 월봉리 57-2,전라북도 김제시 백구면 황토로 1030,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2019-09-09,35.8762293,126.951679,2020-03-20
B000006227,공덕초등학교,초등학교,1934-07-16,공립,본교,운영,전라북도 김제시 공덕면 동계리 702-2,전라북도 김제시 공덕면 공덕로 248,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2019-09-10,35.8946533,126.9116029,2020-03-20
B000006228,황강초등학교,초등학교,1949-09-05,공립,본교,운영,전라북도 김제시 공덕면 마현리 448,전라북도 김제시 공덕면 유강4길 94,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2019-09-10,35.8760892,126.9246771,2020-03-20
B000006229,남양초등학교,초등학교,1965-09-02,공립,본교,운영,전라북도 김제시 황산면 남산리 362-19,전라북도 김제시 황산면 남산로 366,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2019-09-09,35.7831687,126.9745603,2020-03-20
B000006230,황산초등학교,초등학교,1935-04-27,공립,본교,운영,전라북도 김제시 황산면 봉월리 524-2,전라북도 김제시 황산면 용마로 75,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2019-09-10,35.7963784,126.9446916,2020-03-20
B000006231,금구초등학교,초등학교,1912-02-16,공립,본교,운영,전라북도 김제시 금구면 금구리 163-1,전라북도 김제시 금구면 금구로 40,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2019-09-10,35.7745871,127.0122363,2020-03-20
B000006232,청운초등학교,초등학교,1943-04-19,공립,본교,운영,전라북도 김제시 금구면 청운리 198,전라북도 김제시 금구면 황토로 168-30,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2019-09-10,35.8105469,126.982642,2020-03-20
B000006233,봉남초등학교,초등학교,1925-04-20,공립,본교,운영,전라북도 김제시 봉남면 신호리 269-5,전라북도 김제시 봉남면 조양1길 11,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2019-09-10,35.7638279,126.9522336,2020-03-20
B000006234,초처초등학교,초등학교,1939-05-05,공립,본교,운영,전라북도 김제시 봉남면 신응리 123,전라북도 김제시 봉남면 초처로 233,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2019-09-10,35.7390728,126.9548912,2020-03-20
B000006235,금산초등학교,초등학교,1947-06-10,공립,본교,운영,전라북도 김제시 금산면 금산리 339,전라북도 김제시 금산면 모악로 383,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2019-09-09,35.7207234,127.0321793,2020-03-20
B000006237,금남초등학교,초등학교,1966-04-02,공립,본교,운영,전라북도 김제시 금산면 용산리 448-1,전라북도 김제시 금산면 송율길 239-8,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2019-09-09,35.7435299,126.9958963,2020-03-20
B000006238,원평초등학교,초등학교,1915-10-02,공립,본교,운영,전라북도 김제시 금산면 성계리 680-2,전라북도 김제시 금산면 원평로 101,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2019-09-10,35.7173821,126.9944167,2020-03-20
B000006239,용지초등학교,초등학교,1928-06-10,공립,본교,운영,전라북도 김제시 용지면 구암리 708-9,전라북도 김제시 용지면 용지로 432,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2019-09-10,35.8519576,126.9538812,2020-03-20
B000006240,비룡초등학교,초등학교,1963-05-10,공립,본교,운영,전라북도 김제시 용지면 신정리 140-82,전라북도 김제시 용지면 금백로 845-7,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2019-09-10,35.8441251,126.9898163,2020-03-20
B000006241,용동초등학교,초등학교,1950-04-20,공립,본교,운영,전라북도 김제시 용지면 장신리 280,전라북도 김제시 용지면 용덕길 36,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2019-09-10,35.8545800495,127.0033655,2020-03-20
B000006242,삼례중앙초등학교,초등학교,1908-08-31,공립,본교,운영,전라북도 완주군 삼례읍 삼례리 205,전라북도 완주군 삼례읍 웃삼례길 17-10,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.919522,127.0815022,2020-03-20
B000006243,삼례동초등학교,초등학교,1949-11-05,공립,본교,운영,전라북도 완주군 삼례읍 석전리 832,전라북도 완주군 삼례읍 구와로 13,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.9205407,127.1062068,2020-03-20
B000006244,삼례초등학교,초등학교,1918-10-19,공립,본교,운영,전라북도 완주군 삼례읍 후정리 37-2,전라북도 완주군 삼례읍 후정로 30,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.9107696,127.0688461,2020-03-20
B000006245,청완초등학교,초등학교,1970-11-19,공립,본교,운영,전라북도 완주군 봉동읍 구미리 987-1,전라북도 완주군 봉동읍 삼봉로 541,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.9278965,127.1268005,2020-03-20
B000006246,봉성초등학교,초등학교,1962-03-20,공립,본교,운영,전라북도 완주군 봉동읍 성덕리 15-1,전라북도 완주군 봉동읍 신덕성덕길 58-17,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.922986,127.1549097,2020-03-20
B000006247,용봉초등학교,초등학교,1949-09-01,공립,본교,운영,전라북도 완주군 봉동읍 구만리 470-1,전라북도 완주군 봉동읍 완주로 449,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.9057997,127.1559487,2020-03-20
B000006248,봉서초등학교,초등학교,1943-05-11,공립,본교,운영,전라북도 완주군 봉동읍 둔산리 954,전라북도 완주군 봉동읍 원둔산6길 5,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.9623149,127.1251483,2020-03-20
B000006249,봉동초등학교,초등학교,1923-05-19,공립,본교,운영,전라북도 완주군 봉동읍 장기리 301,전라북도 완주군 봉동읍 봉동동서로 105,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.9384922,127.1621833,2020-03-20
B000006250,간중초등학교,초등학교,1967-03-11,공립,본교,운영,전라북도 완주군 용진읍 간중리 616-1,전라북도 완주군 용진읍 간중길 39,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.8912677,127.1817885,2020-03-20
B000006251,용진초등학교,초등학교,1929-06-12,공립,본교,운영,전라북도 완주군 용진읍 상삼리 1088,전라북도 완주군 용진읍 상삼1길 52,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.8575104,127.1769597,2020-03-20
B000006252,대덕초등학교,초등학교,1938-05-10,공립,본교,운영,전라북도 완주군 구이면 계곡리 605-1,전라북도 완주군 구이면 구이로 641,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.6607634,127.1106106,2020-03-20
B000006253,청명초등학교,초등학교,1968-04-03,공립,본교,운영,전라북도 완주군 구이면 덕천리 196-1,전라북도 완주군 구이면 구이로 1712,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.751681,127.1250329,2020-03-20
B000006254,태봉초등학교,초등학교,1949-11-26,공립,본교,운영,전라북도 완주군 구이면 평촌리 1111-1,전라북도 완주군 구이면 덕평로 289,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.7455964,127.1496079,2020-03-20
B000006255,구이초등학교,초등학교,1928-06-15,공립,본교,운영,전라북도 완주군 구이면 항가리 86-1,전라북도 완주군 구이면 구이로 1357,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.7209108,127.1186556,2020-03-20
B000006256,남관초등학교,초등학교,1955-04-01,공립,본교,운영,전라북도 완주군 상관면 용암리 410-2,전라북도 완주군 상관면 마자길 7,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.7233129,127.2336356,2020-03-20
B000006257,상관초등학교,초등학교,1936-06-01,공립,본교,운영,전라북도 완주군 상관면 신리 562,전라북도 완주군 상관면 신리로 115,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.7723097,127.2059184,2020-03-20
B000006258,송광초등학교,초등학교,1960-04-08,공립,본교,운영,전라북도 완주군 소양면 대흥리 996-2,전라북도 완주군 소양면 송광새터길 16-3,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-09,35.8856104,127.2452438,2020-03-20
B000006259,소양서초등학교,초등학교,1964-03-01,공립,본교,운영,전라북도 완주군 소양면 명덕리 1002,전라북도 완주군 소양면 명덕로 38,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.8598931,127.2106093,2020-03-20
B000006260,동양초등학교,초등학교,1948-11-20,공립,본교,운영,전라북도 완주군 소양면 화심리 543-4,전라북도 완주군 소양면 전진로 1059,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-09,35.8440754,127.2712303,2020-03-20
B000006261,소양초등학교,초등학교,1924-10-06,공립,본교,운영,전라북도 완주군 소양면 황운리 636-2,전라북도 완주군 소양면 소양로 239,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.8568826,127.234204,2020-03-20
B000006262,이성초등학교,초등학교,1946-11-15,공립,본교,운영,전라북도 완주군 이서면 이성리 426-1,전라북도 완주군 이서면 대문안1길 23,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.7975724,127.0450394,2020-03-20
B000006263,이서초등학교,초등학교,1923-05-18,공립,본교,운영,전라북도 완주군 이서면 상개리 539,전라북도 완주군 이서면 이서로 76,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.8200125,127.0248583,2020-03-20
B000006264,삼우초등학교,초등학교,1970-03-01,공립,본교,운영,전라북도 완주군 고산면 어우리 168-7,전라북도 완주군 고산면 천호로 27-16,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.967302,127.1805613,2020-03-20
B000006265,고산초등학교,초등학교,1909-05-30,공립,본교,운영,전라북도 완주군 고산면 읍내리 132,전라북도 완주군 고산면 고산로 153,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.9754337,127.2141305,2020-03-20
B000006266,비봉초등학교,초등학교,1930-06-13,공립,본교,운영,전라북도 완주군 비봉면 소농리 513-2,전라북도 완주군 비봉면 비봉소농길 40,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.9979916,127.1395027,2020-03-20
B000006267,화산초등학교,초등학교,1908-03-11,공립,본교,운영,전라북도 완주군 화산면 화평리 589,전라북도 완주군 화산면 화산로 830,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,36.0352281,127.2040183,2020-03-20
B000006268,운주초등학교,초등학교,1930-06-28,공립,본교,운영,전라북도 완주군 운주면 장선리 507-2,전라북도 완주군 운주면 운주로 107,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,36.0921558,127.2779163,2020-03-20
B000006269,가천초등학교,초등학교,1929-05-04,공립,본교,운영,전라북도 완주군 경천면 가천리 351,전라북도 완주군 경천면 경가천길 148-9,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,36.0328611,127.2642334,2020-03-20
B000006271,동상초등학교,초등학교,1933-04-01,공립,본교,운영,전라북도 완주군 동상면 신월리 286,전라북도 완주군 동상면 대아저수로 1525,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2019-09-10,35.9577812,127.2937521,2020-03-20
B000006272,오천초등학교,초등학교,1950-07-15,공립,본교,운영,전라북도 진안군 진안읍 죽산리 4,전라북도 진안군 진안읍 죽산로 5,8320000,전라북도교육청,8401000,전라북도진안교육지원청,2013-11-29,2019-09-10,35.7762743,127.4928803,2020-03-20
B000006273,진안중앙초등학교,초등학교,1964-03-03,공립,본교,운영,전라북도 진안군 진안읍 군상리 222,전라북도 진안군 진안읍 학천변길 37-6,8320000,전라북도교육청,8401000,전라북도진안교육지원청,2013-11-29,2019-09-10,35.7957478,127.436188,2020-03-20
B000006274,진안초등학교,초등학교,1911-09-13,공립,본교,운영,전라북도 진안군 진안읍 군하리 129,전라북도 진안군 진안읍 중앙로 55,8320000,전라북도교육청,8401000,전라북도진안교육지원청,2013-11-29,2019-09-10,35.7912341,127.4241458,2020-03-20
B000006275,조림초등학교,초등학교,1963-03-11,공립,본교,운영,전라북도 진안군 정천면 봉학리 517,전라북도 진안군 정천면 봉학로 52,8320000,전라북도교육청,8401000,전라북도진안교육지원청,2013-11-29,2019-09-10,35.8724618,127.430292,2020-03-20
B000006276,주천초등학교,초등학교,1919-07-14,공립,본교,운영,전라북도 진안군 주천면 주양리 466,전라북도 진안군 주천면 동상주천로 2225,8320000,전라북도교육청,8401000,전라북도진안교육지원청,2013-11-29,2019-09-10,35.9764177,127.4262608,2020-03-20
B000006277,안천초등학교,초등학교,1925-09-23,공립,본교,운영,전라북도 진안군 안천면 백화리 875-1,전라북도 진안군 안천면 진무로 3071-9,8320000,전라북도교육청,8401000,전라북도진안교육지원청,2013-11-29,2019-09-10,35.9002974,127.5601706,2020-03-20
B000006278,동향초등학교,초등학교,1930-06-20,공립,본교,운영,전라북도 진안군 동향면 대량리 629,전라북도 진안군 동향면 하양지1길 5,8320000,전라북도교육청,8401000,전라북도진안교육지원청,2013-11-29,2019-09-10,35.8394414,127.5656972,2020-03-20
B000006279,마령초등학교,초등학교,1922-04-12,공립,본교,운영,전라북도 진안군 마령면 평지리 991,전라북도 진안군 마령면 임진로 2122,8320000,전라북도교육청,8401000,전라북도진안교육지원청,2013-11-29,2019-09-10,35.7355082,127.3691944,2020-03-20
B000006280,백운초등학교,초등학교,1929-06-20,공립,본교,운영,전라북도 진안군 백운면 백암리 537,전라북도 진안군 백운면 임진로 1340-8,8320000,전라북도교육청,8401000,전라북도진안교육지원청,2013-11-29,2019-09-10,35.691733,127.3992641,2020-03-20
B000006281,외궁초등학교,초등학교,1934-05-01,공립,본교,운영,전라북도 진안군 성수면 외궁리 685-2,전라북도 진안군 성수면 가외반로 498,8320000,전라북도교육청,8401000,전라북도진안교육지원청,2013-11-29,2019-09-10,35.7065546,127.3259125,2020-03-20
B000006282,부귀초등학교,초등학교,1928-06-01,공립,본교,운영,전라북도 진안군 부귀면 거석리 788,전라북도 진안군 부귀면 부귀로 313-9,8320000,전라북도교육청,8401000,전라북도진안교육지원청,2013-11-29,2019-09-10,35.8374013,127.3608069,2020-03-20
B000006283,장승초등학교,초등학교,1954-04-06,공립,본교,운영,전라북도 진안군 부귀면 신정리 749,전라북도 진안군 부귀면 곰티로 1287,8320000,전라북도교육청,8401000,전라북도진안교육지원청,2013-11-29,2019-09-10,35.7993792,127.3345884,2020-03-20
B000006284,송풍초등학교,초등학교,1961-04-01,공립,본교,운영,전라북도 진안군 용담면 송풍리 1002,전라북도 진안군 용담면 안용로 1005,8320000,전라북도교육청,8401000,전라북도진안교육지원청,2013-11-29,2019-09-10,35.9652000174,127.5185421,2020-03-20
B000006285,무주초등학교,초등학교,1909-09-03,공립,본교,운영,전라북도 무주군 무주읍 읍내리 343,전라북도 무주군 무주읍 향한로 43,8320000,전라북도교육청,8411000,전라북도무주교육지원청,2013-11-29,2019-09-10,36.0102783,127.6603159,2020-03-20
B000006286,무주중앙초등학교,초등학교,1967-03-02,공립,본교,운영,전라북도 무주군 무주읍 읍내리 416,전라북도 무주군 무주읍 향학로 87,8320000,전라북도교육청,8411000,전라북도무주교육지원청,2013-11-29,2019-09-10,36.012984,127.6645092,2020-03-20
B000006287,설천초등학교,초등학교,1926-05-01,공립,본교,운영,전라북도 무주군 설천면 소천리 904-27,전라북도 무주군 설천면 무설로 1599,8320000,전라북도교육청,8411000,전라북도무주교육지원청,2013-11-29,2019-09-10,36.0092852,127.7888856,2020-03-20
B000006288,무풍초등학교,초등학교,1923-06-24,공립,본교,운영,전라북도 무주군 무풍면 현내리 634,전라북도 무주군 무풍면 대덕산로 926,8320000,전라북도교육청,8411000,전라북도무주교육지원청,2013-11-29,2019-09-10,35.9675681,127.8483617,2020-03-20
B000006289,적상초등학교,초등학교,1923-05-20,공립,본교,운영,전라북도 무주군 적상면 사산리 1200,전라북도 무주군 적상면 삼가로 16,8320000,전라북도교육청,8411000,전라북도무주교육지원청,2013-11-29,2019-09-10,35.932724,127.6561686,2020-03-20
B000006290,안성초등학교,초등학교,1919-07-01,공립,본교,운영,전라북도 무주군 안성면 장기리 1309,전라북도 무주군 안성면 칠연로 58,8320000,전라북도교육청,8411000,전라북도무주교육지원청,2013-11-29,2019-09-10,35.8657673,127.6553062,2020-03-20
B000006291,구천초등학교,초등학교,1934-04-16,공립,본교,운영,전라북도 무주군 설천면 삼공리 314,전라북도 무주군 설천면 구천동로 898,8320000,전라북도교육청,8411000,전라북도무주교육지원청,2013-11-29,2019-09-10,35.9092373,127.7771945,2020-03-20
B000006292,괴목초등학교,초등학교,1943-05-16,공립,본교,운영,전라북도 무주군 적상면 포내리 803,전라북도 무주군 적상면 괴목로 536-4,8320000,전라북도교육청,8411000,전라북도무주교육지원청,2013-11-29,2019-09-10,35.9466356,127.7160355,2020-03-20
B000006293,부남초등학교,초등학교,1922-06-01,공립,본교,운영,전라북도 무주군 부남면 대소리 505,전라북도 무주군 부남면 대소길 10,8320000,전라북도교육청,8411000,전라북도무주교육지원청,2013-11-29,2019-09-10,35.9727293,127.5605267,2020-03-20
B000006294,부당초등학교,초등학교,1944-05-24,공립,본교,운영,전라북도 무주군 부남면 가당리 448-2,전라북도 무주군 부남면 부남로 1785,8320000,전라북도교육청,8411000,전라북도무주교육지원청,2013-11-29,2019-09-09,36.0154226,127.5801474,2020-03-20
B000006295,수남초등학교,초등학교,1957-04-12,공립,본교,운영,전라북도 장수군 장수읍 개정리 346,전라북도 장수군 장수읍 장수로 1898,8320000,전라북도교육청,8421000,전라북도장수교육지원청,2013-11-29,2019-09-10,35.6253494,127.5073000189,2020-03-20
B000006296,장수초등학교,초등학교,1912-05-01,공립,본교,운영,전라북도 장수군 장수읍 장수리 195,전라북도 장수군 장수읍 향교길 11-8,8320000,전라북도교육청,8421000,전라북도장수교육지원청,2013-11-29,2019-09-10,35.6482953,127.5226299698,2020-03-20
B000006297,번암초등학교,초등학교,1919-06-27,공립,본교,운영,전라북도 장수군 번암면 노단리 453,전라북도 장수군 번암면 동강길 21,8320000,전라북도교육청,8421000,전라북도장수교육지원청,2013-11-29,2019-09-10,35.5343477,127.5470431,2020-03-20
B000006298,산서초등학교,초등학교,1924-06-10,공립,본교,운영,전라북도 장수군 산서면 동화리 208,전라북도 장수군 산서면 동백로 7,8320000,전라북도교육청,8421000,전라북도장수교육지원청,2013-11-29,2019-09-10,35.5878573,127.395292,2020-03-20
B000006299,계남초등학교,초등학교,1934-05-01,공립,본교,운영,전라북도 장수군 계남면 화음리 971,전라북도 장수군 계남면 조곡길 1,8320000,전라북도교육청,8421000,전라북도장수교육지원청,2013-11-29,2019-09-10,35.7021695,127.5778481,2020-03-20
B000006300,장계초등학교,초등학교,1919-05-27,공립,본교,운영,전라북도 장수군 장계면 장계리 276-3,전라북도 장수군 장계면 한들로 69,8320000,전라북도교육청,8421000,전라북도장수교육지원청,2013-11-29,2019-09-10,35.7315414,127.5820129,2020-03-20
B000006301,천천초등학교,초등학교,1926-04-26,공립,본교,운영,전라북도 장수군 천천면 춘송리 833-1,전라북도 장수군 천천면 송탄로 22,8320000,전라북도교육청,8421000,전라북도장수교육지원청,2013-11-29,2019-09-10,35.7355371,127.5335668,2020-03-20
B000006302,계북초등학교,초등학교,1928-06-10,공립,본교,운영,전라북도 장수군 계북면 어전리 739,전라북도 장수군 계북면 문성길 7,8320000,전라북도교육청,8421000,전라북도장수교육지원청,2013-11-29,2019-09-10,35.7871845,127.6175041,2020-03-20
B000006304,임실기림초등학교,초등학교,1956-11-20,공립,본교,운영,전라북도 임실군 임실읍 두곡리 58-1,전라북도 임실군 임실읍 봉황로 369,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2013-11-29,2019-09-10,35.6289673,127.2898517,2020-03-20
B000006305,임실초등학교,초등학교,1911-09-10,공립,본교,운영,전라북도 임실군 임실읍 성가리 202,전라북도 임실군 임실읍 봉황로 64-12,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2013-11-29,2019-09-10,35.6072619,127.2707554,2020-03-20
B000006306,관촌초등학교,초등학교,1921-05-01,공립,본교,운영,전라북도 임실군 관촌면 관촌리 502,전라북도 임실군 관촌면 사선6길 11,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2013-11-29,2019-09-10,35.6765558,127.2704326,2020-03-20
B000006307,대리초등학교,초등학교,1949-04-10,공립,본교,운영,전라북도 임실군 신평면 대리 289,전라북도 임실군 신평면 대리로 187,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2013-11-29,2019-09-10,35.6597582,127.2699253,2020-03-20
B000006308,신평초등학교,초등학교,1935-05-01,공립,본교,운영,전라북도 임실군 신평면 원천리 139,전라북도 임실군 신평면 가덕로 683,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2013-11-29,2019-09-10,35.6575804,127.2263409,2020-03-20
B000006309,신덕초등학교,초등학교,1930-06-10,공립,본교,운영,전라북도 임실군 신덕면 수천리 840,전라북도 임실군 신덕면 수지로 56,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2013-11-29,2019-09-10,35.6829872,127.1758356,2020-03-20
B000006310,마암초등학교,초등학교,1967-11-18,공립,본교,운영,전라북도 임실군 운암면 마암리 700,전라북도 임실군 운암면 마암2길 84,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2013-11-29,2019-09-10,35.603108,127.1045939,2020-03-20
B000006311,운암초등학교,초등학교,1924-05-10,공립,본교,운영,전라북도 임실군 운암면 쌍암리 617-5,전라북도 임실군 운암면 상운길 12,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2013-11-29,2019-09-10,35.6639068,127.1564265,2020-03-20
B000006312,청웅초등학교,초등학교,1922-03-16,공립,본교,운영,전라북도 임실군 청웅면 구고리 111,전라북도 임실군 청웅면 청웅로 188,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2013-11-29,2019-09-10,35.5714266,127.2049045,2020-03-20
B000006313,갈담초등학교,초등학교,1921-05-12,공립,본교,운영,전라북도 임실군 강진면 갈담리 323-1,전라북도 임실군 강진면 호국로 65,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2013-11-29,2019-09-10,35.5318365,127.1660007,2020-03-20
B000006314,덕치초등학교,초등학교,1936-06-10,공립,본교,운영,전라북도 임실군 덕치면 일중리 221,전라북도 임실군 덕치면 인덕로 1217,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2013-11-29,2019-09-10,35.4958438,127.1480986,2020-03-20
B000006315,성수초등학교,초등학교,1928-06-01,공립,본교,운영,전라북도 임실군 성수면 양지리 675,전라북도 임실군 성수면 임진로 189,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2013-11-29,2019-09-10,35.6297244,127.3303388,2020-03-20
B000006316,오수초등학교,초등학교,1917-04-01,공립,본교,운영,전라북도 임실군 오수면 오수리 400-17,전라북도 임실군 오수면 충효로 2059,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2013-11-29,2019-09-10,35.5427043,127.3273435,2020-03-20
B000006317,삼계초등학교,초등학교,1919-10-10,공립,본교,운영,전라북도 임실군 삼계면 삼계리 181-2,전라북도 임실군 삼계면 삼계1길 20-3,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2013-11-29,2019-09-10,35.5068824,127.2772256,2020-03-20
B000006318,지사초등학교,초등학교,1926-05-10,공립,본교,운영,전라북도 임실군 지사면 방계리 655-1,전라북도 임실군 지사면 방계3길 10,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2013-11-29,2019-09-10,35.5643207,127.3566623,2020-03-20
B000006319,옥천초등학교,초등학교,1951-06-15,공립,본교,운영,전라북도 순창군 순창읍 남계리 362-2,전라북도 순창군 순창읍 순창6길 33,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2013-11-29,2019-09-10,35.373032,127.1464918,2020-03-20
B000006320,순창중앙초등학교,초등학교,1970-03-19,공립,본교,운영,전라북도 순창군 순창읍 남계리 268,전라북도 순창군 순창읍 장류로 385,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2013-11-29,2019-09-10,35.3776818,127.1444312,2020-03-20
B000006321,순창초등학교,초등학교,1911-09-11,공립,본교,운영,전라북도 순창군 순창읍 순화리 313,전라북도 순창군 순창읍 순창7길 40,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2013-11-29,2019-09-10,35.3751436,127.1391708,2020-03-20
B000006322,적성초등학교,초등학교,1935-05-23,공립,본교,운영,전라북도 순창군 적성면 고원리 616,전라북도 순창군 적성면 적성로 149-7,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2013-11-29,2019-09-09,35.3988921,127.2104334,2020-03-20
B000006323,동계초등학교,초등학교,1920-12-01,공립,본교,운영,전라북도 순창군 동계면 현포리 568,전라북도 순창군 동계면 동계로 35,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2013-11-29,2019-09-10,35.440777,127.2400766,2020-03-20
B000006324,유등초등학교,초등학교,1926-04-29,공립,본교,운영,전라북도 순창군 유등면 외이리 186,전라북도 순창군 유등면 유등로 413,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2013-11-29,2019-09-10,35.3621095,127.1884288,2020-03-20
B000006325,풍산초등학교,초등학교,1932-04-16,공립,본교,운영,전라북도 순창군 풍산면 반월리 153,전라북도 순창군 풍산면 금풍로 997-10,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2013-11-29,2019-09-10,35.3371486,127.1381113,2020-03-20
B000006326,금과초등학교,초등학교,1924-04-21,공립,본교,운영,전라북도 순창군 금과면 매우리 145,전라북도 순창군 금과면 신매우1길 11,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2013-11-29,2019-09-10,35.3399601,127.0871685,2020-03-20
B000006327,팔덕초등학교,초등학교,1930-05-12,공립,본교,운영,전라북도 순창군 팔덕면 용산리 353-1,전라북도 순창군 팔덕면 강천로 328,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2013-11-29,2019-09-10,35.3927627,127.0977525,2020-03-20
B000006328,구림초등학교,초등학교,1922-05-10,공립,본교,운영,전라북도 순창군 구림면 운남리 234-2,전라북도 순창군 구림면 방화로 6,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2013-11-29,2019-09-10,35.4530083,127.1004117,2020-03-20
